Date,Open,High,Low,Close,Adj Close,Volume
2007-09-18,4577.700195,4593.350098,4558.600098,4576.750000,4576.750000,0
2007-09-19,4674.100098,4700.750000,4650.250000,4667.299805,4667.299805,0
2007-09-20,4666.000000,4666.000000,4558.200195,4566.049805,4566.049805,0
2007-09-21,4559.149902,4632.100098,4476.850098,4603.850098,4603.850098,0
2007-09-24,4605.700195,4631.750000,4539.950195,4560.250000,4560.250000,0
2007-09-25,4581.600098,4592.700195,4520.950195,4540.600098,4540.600098,0
2007-09-26,4608.149902,4725.049805,4570.750000,4703.399902,4703.399902,0
2007-09-27,4754.250000,4841.000000,4745.549805,4816.200195,4816.200195,0
2007-09-28,4790.649902,4882.850098,4769.450195,4804.200195,4804.200195,0
2007-10-01,4813.350098,4813.350098,4696.000000,4766.950195,4766.950195,0
2007-10-03,4735.850098,4943.649902,4735.850098,4920.100098,4920.100098,0
2007-10-04,4917.299805,4922.549805,4843.350098,4908.000000,4908.000000,0
2007-10-05,4908.899902,4912.549805,4842.700195,4868.450195,4868.450195,0
2007-10-08,4887.250000,4943.899902,4846.549805,4895.899902,4895.899902,0
2007-10-09,4896.850098,5025.350098,4880.600098,5015.399902,5015.399902,0
2007-10-10,5027.049805,5187.350098,5027.049805,5171.600098,5171.600098,0
2007-10-11,5109.750000,5109.750000,4899.950195,4947.299805,4947.299805,0
2007-10-12,4898.899902,4903.200195,4802.200195,4877.850098,4877.850098,0
2007-10-15,4891.750000,4967.000000,4863.000000,4912.549805,4912.549805,0
2007-10-16,4912.700195,4955.350098,4815.100098,4836.450195,4836.450195,0
2007-10-17,4742.549805,4897.649902,4572.200195,4882.899902,4882.899902,0
2007-10-18,4939.100098,5037.500000,4846.700195,4904.299805,4904.299805,0
2007-10-19,4959.350098,4979.700195,4818.049805,4894.049805,4894.049805,0
2007-10-22,4824.100098,4858.850098,4779.399902,4807.000000,4807.000000,0
2007-10-23,4839.899902,4890.250000,4797.250000,4807.250000,4807.250000,0
2007-10-24,4860.700195,4884.399902,4739.850098,4756.850098,4756.850098,0
2007-10-25,4757.899902,4789.450195,4719.750000,4766.200195,4766.200195,0
2007-10-26,4766.750000,4844.649902,4742.649902,4824.649902,4824.649902,0
